,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
0,2.99,5.13,21.06,11.97,3.26,1.56,2.55,2.41,3.59,0.78,1.21,6.13,0.12,5.89,4.56,49.89,140.5,153.81,71.47,3.84,3.34,179.85,155.94,86.53,20.47,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
1,2.94,5.27,20.23,19.52,3.27,1.83,3.38,8.71,4.11,0.51,2.29,3.22,0.05,7.29,5.74,49.26,140.14,153.96,70.25,2.61,3.47,181.19,154.04,87.45,10.84,Toe Off,Toe Off,Terminal Swing,Terminal Swing
2,2.67,4.75,18.5,20.67,3.4,1.51,8.7,17.02,4.94,1.19,1.89,0.06,0.25,9.26,8.09,48.41,139.27,151.73,71.33,0.23,3.09,179.77,148.46,87.9,2.08,Initial Swing,Initial Swing,Initial Strike,Initial Strike
3,3.03,5.23,16.45,21.14,2.8,0.26,14.46,20.75,2.51,2.6,0.73,0.23,0.29,10.78,4.28,46.61,,,79.02,2.04,3.84,175.65,140.31,88.38,3.43,Initial Swing,Initial Swing,Loading Response,Loading Response
4,3.58,5.23,11.84,10.8,1.9,1.11,18.48,24.46,0.63,2.7,1.1,3.02,0.74,12.58,3.9,44.85,,,77.06,2.25,3.92,175.36,132.22,88.19,1.84,Initial Swing,Initial Swing,Loading Response,Loading Response
5,3.64,4.53,9.55,2.24,1.22,1.75,20.33,26.52,1.57,3.48,0.14,3.91,0.92,11.72,4.54,41.66,,,72.89,5.22,4.65,172.71,124.03,88.66,0.67,Initial Swing,Midswing,Loading Response,Loading Response
6,4.38,4.64,10.74,6.74,0.55,1.44,20.65,32.32,1.88,3.13,0.85,5.84,0.58,10.48,4.15,38.32,,,71.57,1.18,6.15,170.86,116.13,88.17,2.34,Initial Swing,Midswing,Loading Response,Loading Response
7,4.13,4.36,11.11,8.89,0.32,3.56,22.27,34.7,1.44,3.38,0.22,6.88,0.25,10.3,2.11,34.58,,,67.5,0.94,8.31,166.7,106.82,84.24,3.14,Midswing,Midswing,Loading Response,Loading Response
8,3.95,3.84,11.87,9.69,0.6,7.21,25.86,35.49,2.39,3.49,0.09,3.82,0.45,9.79,1.17,29.49,135.71,126.75,65.01,0.57,10.97,164.86,101.22,83.85,3.88,Midswing,Midswing,Loading Response,Loading Response
