,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
0,2.17,4.16,13.83,8.06,3.43,8.19,8.46,17.11,1.02,1.84,1.2,9.37,0.92,8.66,12.03,54.8,159.66,170.06,71.79,120.25,27.53,175.09,123.41,114.19,0.85,Initial Swing,Midswing,error,error
1,1.86,2.97,11.82,1.59,1.69,13.15,14.57,18.02,1.74,2.1,0.96,3.27,0.2,13.86,7.21,53.49,161.59,170.38,87.55,0.07,27.86,173.78,116.11,111.72,4.68,Midswing,Midswing,Loading Response,Loading Response
2,2.25,2.8,7.71,2.05,0.01,19.09,20.66,20.6,0.01,3.07,0.99,7.25,0.96,15.51,2.51,52.04,163.97,168.64,85.01,166.52,28.89,171.96,109.96,109.77,4.33,Midswing,Midswing,error,error
3,3.12,2.59,2.74,4.49,0.78,18.98,21.99,20.1,0.5,2.99,0.99,8.83,0.53,17.59,0.28,49.91,166.5,166.14,83.55,0.67,30.78,168.05,103.09,108.27,1.47,Midswing,Midswing,Loading Response,Loading Response
4,4.49,4.17,2.81,5.16,1.06,15.28,19.72,22.1,0.5,3.35,1.53,7.29,3.78,12.22,6.18,48.58,164.93,161.8,82.94,3.46,31.97,163.42,96.37,107.7,1.32,Midswing,Midswing,Loading Response,Loading Response
5,4.53,4.49,4.09,4.79,1.28,10.34,15.51,23.09,,3.39,2,2.9,5.4,8,4.9,45.5,,,,0.3,32.82,159.27,93.27,106.74,0.21,Midswing,Midswing,Loading Response,Loading Response
6,4.01,3.44,5,4.87,2.19,5.91,12.28,22.72,2.42,4.5,2.89,3.82,,,3.84,43.03,159.92,155.87,80.57,5.37,33.98,153.96,89.43,102.35,0.7,Midswing,Midswing,Loading Response,Loading Response
7,3.42,2.5,5.51,4.63,2.82,0.26,3.96,19.05,0.9,2.91,0.55,7.09,0.88,10.82,5.48,40.12,160.14,154.93,79.43,9.08,35.19,150.36,88.04,99.53,6.01,Midswing,Midswing,Loading Response,Loading Response
8,3.84,3.22,7.51,4.65,3.16,0.2,5.18,16.85,0.35,3.18,0.69,6.59,4.6,0.19,1.76,36.99,,,,10.22,37.01,145.37,86.43,,,Midswing,Midswing,Midstance,Midstance
9,3.68,3.38,7.44,3.48,3.31,2.13,3.42,13.19,0.49,2.35,1.12,6.27,5.78,2.38,1.44,32.1,,,,9.54,38.49,142.53,89.94,94.17,,Midswing,Midswing,Terminal Stance,Terminal Stance
10,3.71,3.01,5.99,3.79,3.02,1.08,5.67,11.71,1.52,2.33,1.48,8,7.36,4.78,3.25,29.3,165.06,156.28,79.71,11.94,40.32,139.04,92.29,92.65,15.85,Midswing,Midswing,Terminal Stance,Terminal Stance
11,3.82,3.54,6.47,3.95,3.89,2,6.04,9.23,2.18,2.83,1.33,9.16,6.85,4.36,4.98,27.83,171.22,162.49,83.62,20.74,42.34,133.97,94.9,87.94,11.74,Midswing,Midswing,Terminal Stance,Terminal Stance
12,4.8,5,7.7,2.16,4.04,2.34,7.65,10.03,1.56,2.61,1.18,7.02,5.99,3.4,1.33,26.67,,,,23.84,44.12,133.59,102.28,87.24,13.1,Midswing,Midswing,Terminal Stance,Terminal Stance
13,5.02,4.87,5.32,1.44,3.92,1.68,9,5.71,2.03,3.24,1.09,8.19,6.7,4.52,2.44,26.2,,,,24.67,45.51,137.2,111.73,85.4,12.27,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
14,5.2,6.06,8.43,0.71,3.72,1.37,9.06,5.92,3.66,2.96,1.72,6.62,6.57,3.91,0.74,26.05,,,,25.62,46.01,139.85,123.06,82.96,8.31,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
15,5.03,6.06,8.96,1.39,2.95,0.88,6.28,2.5,4.69,3.17,1.11,2,5.91,3.61,2.19,25.78,,,,34.67,47.41,143.61,134.18,78.82,6.68,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
